adhesivity,particle_size,weight_coefficient,gamma
0.73,0.08,0.0,0.7789268358520504
0.73,0.1,0.0,0.7820124308783208
0.74,0.02,0.0,0.7743959885240373
0.74,0.04,0.0,0.777036806875539
0.74,0.06,0.0,0.7802062632088281
0.74,0.08,0.0,0.783436170452528
0.74,0.1,0.0,0.7864998424419655
0.75,0.02,0.0,0.7788468705269865
0.75,0.04,0.0,0.7814824354102784
0.75,0.06,0.0,0.7846391458245948
0.75,0.08,0.0,0.7878480382236889
0.75,0.1,0.0,0.7908919842166527
0.76,0.02,0.0,0.7832056039163676
0.76,0.04,0.0,0.785834515702223
0.76,0.06,0.0,0.7889764621392702
0.76,0.08,0.0,0.7921633903683899
0.76,0.1,0.0,0.7951896218243947
0.77,0.02,0.0,0.7874736814433406
0.77,0.04,0.0,0.7900946080718926
0.77,0.06,0.0,0.793219724020655
0.77,0.08,0.0,0.7963835945162957
0.77,0.1,0.0,0.7993938866014604
0.78,0.02,0.0,0.7916530204448081
0.78,0.04,0.0,0.7942647455468291
0.78,0.06,0.0,0.7973709506116252
0.78,0.08,0.0,0.8005105305210692
0.78,0.1,0.0,0.8035063782155335
0.79,0.02,0.0,0.7957460046809389
0.79,0.04,0.0,0.7983474805875902
0.79,0.06,0.0,0.8014327233593791
0.79,0.08,0.0,0.8045466550280084
0.79,0.1,0.0,0.8075292374861748
0.8,0.02,0.0,0.799755484633056
0.8,0.04,0.0,0.802345888768872
0.8,0.06,0.0,0.8054081976189339
0.8,0.08,0.0,0.8084950231829596
0.8,0.1,0.0,0.8114651776633964
0.81,0.02,0.0,0.8036847263677659
0.81,0.04,0.0,0.806263518921145
0.81,0.06,0.0,0.8093010598849618
0.81,0.08,0.0,0.8123592562347172
0.81,0.1,0.0,0.8153174627450314
0.82,0.02,0.0,0.8075373006665133
0.82,0.04,0.0,0.8101042807302038
0.82,0.06,0.0,0.813115421118613
0.82,0.08,0.0,0.8161434451144233
0.82,0.1,0.0,0.8190898226758948
0.83,0.02,0.0,0.8113169069456235
0.83,0.04,0.0,0.8138722635133776
0.83,0.06,0.0,0.8168556392538194
0.83,0.08,0.0,0.8198519826165581
0.83,0.1,0.0,0.8227862977512531
0.84,0.02,0.0,0.8150271308707063
0.84,0.04,0.0,0.817571484148988
0.84,0.06,0.0,0.820526068128021
0.84,0.08,0.0,0.823489320872912
0.84,0.1,0.0,0.8264110085301611
0.85,0.02,0.0,0.818671140842301
0.85,0.04,0.0,0.8212055682857796
0.85,0.06,0.0,0.8241307361175417
0.85,0.08,0.0,0.8270596567498844
0.85,0.1,0.0,0.8299678534201179
