adhesivity,particle_size,volume_time_400,efficiency_time_400,product,n
0.5,0.01,0.634866791761904,0.6350503835914212,0.5014217177379467,0.52
0.55,0.01,0.6693486970701774,0.6696088159005474,0.5434510378154742,0.52
0.6,0.01,0.7005389403920762,0.7008724230405265,0.5824568517767434,0.52
0.65,0.01,0.7287570770922995,0.729157929274718,0.6185355297041335,0.52
0.7,0.01,0.7542883590170024,0.7547512167325651,0.6518133821424812,0.52
0.75,0.01,0.7773907463269045,0.7779105196969088,0.6824362929523723,0.52
0.8,0.01,0.7982963706395205,0.7988690418846631,0.7105603209894824,0.52
0.85,0.01,0.8172153830104059,0.817837423883942,0.7363460763260832,0.52
0.9,0.01,0.8343376715483086,0.835006028172328,0.7599541210006495,0.52
0.95,0.01,0.8498350327614543,0.850546783524984,0.781541806114904,0.52
1.0,0.01,0.8638628428399007,0.864615116867358,0.8012612079169166,0.52
0.0,0.02,0.008494479202439675,0.008494479202439686,0.0007116850963502852,0.52
0.05,0.02,0.10355931962138193,0.10354872157139068,0.031845136839838514,0.52
0.1,0.02,0.18940484711041503,0.18937481687757352,0.0797196883341533,0.52
0.15,0.02,0.26693120013644694,0.26688599192762297,0.1342930185884141,0.52
0.2,0.02,0.3369236156901394,0.3369035351264105,0.19134711712574384,0.52
0.25,0.02,0.4001045512763478,0.40016416126260085,0.24852404076963408,0.52
0.3,0.02,0.45717191345985864,0.4573311942382869,0.30441930273718937,0.52
0.35,0.02,0.5087395889165585,0.5090004393305705,0.35817546653240734,0.52
0.4,0.02,0.5553460159766319,0.5557086323165745,0.40927973974478715,0.52
0.45,0.02,0.5974707199914334,0.5979384270479994,0.45744734424597594,0.52
0.5,0.02,0.6355493950316339,0.6361247509514,0.5025507608939573,0.52
0.55,0.02,0.6699756659019035,0.6706592715503965,0.5445686398922518,0.52
0.6,0.02,0.7011041126091416,0.7018951470017989,0.5835514429372186,0.52
0.65,0.02,0.7292542007042864,0.7301507632053577,0.6195974076267153,0.52
0.7,0.02,0.7547140118573236,0.7557133855143058,0.6528358111182908,0.52
0.75,0.02,0.7777432970459612,0.7788420189478106,0.6834145769157888,0.52
0.8,0.02,0.7985763429105539,0.7997705327598604,0.7114918795446545,0.52
0.85,0.02,0.8174251182536668,0.8187102287064746,0.7372302813585231,0.52
0.9,0.02,0.8344796523916175,0.8358511219828632,0.7607905693893866,0.52
0.95,0.02,0.849912686679312,0.8513658278481703,0.7823315712786834,0.52
1.0,0.02,0.8638794804617188,0.8654095298144693,0.8020054429026231,0.52
0.0,0.03,0.008494479202439675,0.008494479202439686,0.0007116850963502852,0.52
0.05,0.03,0.10392952864903204,0.10391384712796617,0.03201678220162386,0.52
0.1,0.03,0.19004945908183749,0.19000473846661362,0.080126299032448,0.52
0.15,0.03,0.2677130897697242,0.267704717520886,0.13491002407351763,0.52
0.2,0.03,0.3377675362253543,0.3378517014509791,0.19213541445697171,0.52
0.25,0.03,0.4010103052579986,0.40119890849341155,0.24945982891183055,0.52
0.3,0.03,0.45811560706025534,0.4584206106231461,0.3054718399720346,0.52
0.35,0.03,0.5096841625978644,0.5101210069628511,0.3593104106039264,0.52
0.4,0.03,0.5562641808533412,0.5568440936775966,0.410468455560256,0.52
0.45,0.03,0.5983465460232378,0.5990774411161102,0.4586679729528311,0.52
0.5,0.03,0.6363730826494962,0.6372600190294336,0.5037868288580549,0.52
0.55,0.03,0.6707408987344273,0.6717861922850108,0.5458075806309644,0.52
0.6,0.03,0.7018077494336482,0.7030114541403614,0.5847844878969188,0.52
0.65,0.03,0.7298948306730073,0.7312549881863523,0.620817844068899,0.52
0.7,0.03,0.7552924594181458,0.7568054881582944,0.6540397595610329,0.52
0.75,0.03,0.7782611813955981,0.7799223552411194,0.6845994734185872,0.52
0.8,0.03,153.65950550561828,0.8008879379126884,10.979502377658035,0.52
0.85,0.03,145.25895663855243,0.8198756855882777,10.915969804884382,0.52
0.9,0.03,137.73297889795032,0.8370422693359832,10.840445211612964,0.52
0.95,0.03,130.9396567526749,0.85256372720494,10.754838035368607,0.52
1.0,0.03,124.81613410316442,0.8665974169903038,10.662969534031932,0.52
0.0,0.04,0.008494479202439675,0.008494479202439686,0.0007116850963502852,0.52
0.05,0.04,0.104300119858317,0.1042787682898383,0.032188741165731075,0.52
